Statistics from birth to 2022,Messi,Ronaldo
Information,Messi is an Argentine professional footballer who plays as a forward for Ligue 1 club Paris Saint-Germain and captains the Argentina national team.,Ronaldo is a Portuguese professional footballer who plays as a forward for Premier League club Manchester United and captains the Portugal national team.
Born,"June 24, 1987 (age 36 years), Rosario, Argentina","February 5, 1985 (age 39 years), Hospital Dr. Nélio Mendonça, Funchal, Portugal"
Height,1.69 m,1.87 m
Partner,Antonela Roccuzzo (m. 2017),Georgina Rodr?guez (2017)
Salary,41 million USD (2022),26.52 million GBP (2022)
Children,"Mateo Messi Roccuzzo, Thiago Messi Roccuzzo, Ciro Messi Roccuzzo","Cristiano Ronaldo Jr., Alana Martina dos Santos Aveiro, Eva Maria Dos Santos, Mateo Ronaldo"
