season,competition,matchday,date,venue,club,opponent,result,playing_position,minute,at_score,type,goal_assist,player_name,extra_time,penality_time,player_goal_number,opponent_score,club_score,year,month,day,day_name,month_name,season_time,match_periods
12//13,LaLiga,6,2012-09-30,H,Real Madrid,Deportivo de La CoruÃ±a,5:01,LW,44,3:01,Header,Sergio Ramos,ronaldo,False,False,3,1,5,2012,9,30,Sunday,September,start,first half
12//13,LaLiga,6,2012-09-30,H,Real Madrid,Deportivo de La CoruÃ±a,5:01,LW,84,5:01,Penalty,no assist,ronaldo,False,False,5,1,5,2012,9,30,Sunday,September,start,second time
12//13,UEFA Champions League,group stage,2012-10-03,A,Real Madrid,Ajax Amsterdam,1:04,LW,42,0:01,Right-footed shot,Karim Benzema,ronaldo,False,False,1,1,4,2012,10,3,Wednesday,October,start,first half
12//13,UEFA Champions League,group stage,2012-10-03,A,Real Madrid,Ajax Amsterdam,1:04,LW,79,1:03,Right-footed shot,Karim Benzema,ronaldo,False,False,3,1,4,2012,10,3,Wednesday,October,start,second time
12//13,UEFA Champions League,group stage,2012-10-03,A,Real Madrid,Ajax Amsterdam,1:04,LW,81,1:04,Left-footed shot,Sami Khedira,ronaldo,False,False,4,1,4,2012,10,3,Wednesday,October,start,second time
12//13,LaLiga,7,2012-10-07,A,Real Madrid,FC Barcelona,2:02,LW,22,0:01,Left-footed shot,Karim Benzema,ronaldo,False,False,1,2,2,2012,10,7,Sunday,October,start,first half
12//13,LaLiga,7,2012-10-07,A,Real Madrid,FC Barcelona,2:02,LW,66,2:02,Right-footed shot,Mesut Ozil,ronaldo,False,False,2,2,2,2012,10,7,Sunday,October,start,second time
12//13,LaLiga,8,2012-10-20,H,Real Madrid,Celta de Vigo,2:00,LW,67,2:00,Penalty,no assist,ronaldo,False,False,2,0,2,2012,10,20,Saturday,October,start,second time
12//13,UEFA Champions League,group stage,2012-10-24,A,Real Madrid,Borussia Dortmund,2:01,LW,38,1:01,Right-footed shot,Mesut Ozil,ronaldo,False,False,1,2,1,2012,10,24,Wednesday,October,start,first half
12//13,LaLiga,9,2012-10-28,A,Real Madrid,RCD Mallorca,0:05,LW,22,0:02,Right-footed shot,Gonzalo Higuain,ronaldo,False,False,2,0,5,2012,10,28,Sunday,October,start,first half
12//13,LaLiga,9,2012-10-28,A,Real Madrid,RCD Mallorca,0:05,LW,73,0:04,Right-footed shot,Gonzalo Higuain,ronaldo,False,False,4,0,5,2012,10,28,Sunday,October,start,second time
12//13,LaLiga,11,2012-11-11,A,Real Madrid,Levante UD,1:02,CF,20,0:01,Right-footed shot,Mesut Ozil,ronaldo,False,False,1,1,2,2012,11,11,Sunday,November,middle,first half
12//13,LaLiga,14,2012-12-01,H,Real Madrid,Atletico de Madrid,2:00,LW,16,1:00,Direct free kick,no assist,ronaldo,False,False,1,0,2,2012,12,1,Saturday,December,middle,first half
12//13,UEFA Champions League,group stage,2012-12-04,H,Real Madrid,Ajax Amsterdam,4:01,LW,13,1:00,Right-footed shot,Karim Benzema,ronaldo,False,False,1,1,4,2012,12,4,Tuesday,December,middle,first half
12//13,Copa del Rey,last 16,2012-12-12,A,Real Madrid,Celta de Vigo,2:01,LW,87,2:01,Left-footed shot,Xabi Alonso,ronaldo,False,False,1,2,1,2012,12,12,Wednesday,December,middle,second time
12//13,LaLiga,16,2012-12-16,H,Real Madrid,RCD Espanyol Barcelona,2:02,CF,45,1:01,Right-footed shot,Sami Khedira,ronaldo,False,False,1,2,2,2012,12,16,Sunday,December,middle,first half
12//13,LaLiga,18,2013-01-06,H,Real Madrid,Real Sociedad,4:03,LW,67,3:02,Left-footed shot,Karim Benzema,ronaldo,False,False,3,3,4,2013,1,6,Sunday,January,middle,second time
12//13,LaLiga,18,2013-01-06,H,Real Madrid,Real Sociedad,4:03,LW,70,4:02,Direct free kick,no assist,ronaldo,False,False,4,3,4,2013,1,6,Sunday,January,middle,second time
12//13,Copa del Rey,last 16,2013-01-09,H,Real Madrid,Celta de Vigo,4:00,LW,2,1:00,Right-footed shot,alvaro Arbeloa,ronaldo,False,False,1,0,4,2013,1,9,Wednesday,January,middle,first half
12//13,Copa del Rey,last 16,2013-01-09,H,Real Madrid,Celta de Vigo,4:00,LW,24,2:00,Left-footed shot,Luka Modric,ronaldo,False,False,2,0,4,2013,1,9,Wednesday,January,middle,first half
12//13,Copa del Rey,last 16,2013-01-09,H,Real Madrid,Celta de Vigo,4:00,LW,87,3:00,Left-footed shot,Gonzalo Higuain,ronaldo,False,False,3,0,4,2013,1,9,Wednesday,January,middle,second time
12//13,LaLiga,20,2013-01-20,A,Real Madrid,Valencia CF,0:05,LW,35,0:03,Left-footed shot,Fabio CoentrÃ£o,ronaldo,False,False,3,0,5,2013,1,20,Sunday,January,middle,first half
12//13,LaLiga,20,2013-01-20,A,Real Madrid,Valencia CF,0:05,LW,41,0:04,Right-footed shot,Mesut Ozil,ronaldo,False,False,4,0,5,2013,1,20,Sunday,January,middle,first half
12//13,LaLiga,21,2013-01-27,H,Real Madrid,Getafe CF,4:00,LW,62,2:00,Left-footed shot,Mesut Ozil,ronaldo,False,False,2,0,4,2013,1,27,Sunday,January,middle,second time
12//13,LaLiga,21,2013-01-27,H,Real Madrid,Getafe CF,4:00,LW,65,3:00,Header,Angel Di Maria,ronaldo,False,False,3,0,4,2013,1,27,Sunday,January,middle,second time
12//13,LaLiga,21,2013-01-27,H,Real Madrid,Getafe CF,4:00,LW,72,4:00,Penalty,no assist,ronaldo,False,False,4,0,4,2013,1,27,Sunday,January,middle,second time
12//13,LaLiga,23,2013-02-09,H,Real Madrid,Sevilla FC,4:01,LW,26,2:00,Left-footed shot,Kaka,ronaldo,False,False,2,1,4,2013,2,9,Saturday,February,middle,first half
12//13,LaLiga,23,2013-02-09,H,Real Madrid,Sevilla FC,4:01,LW,46,3:00,Left-footed shot,alvaro Arbeloa,ronaldo,False,False,3,1,4,2013,2,9,Saturday,February,middle,second time
12//13,LaLiga,23,2013-02-09,H,Real Madrid,Sevilla FC,4:01,LW,59,4:00,Right-footed shot,Gonzalo Higuain,ronaldo,False,False,4,1,4,2013,2,9,Saturday,February,middle,second time
12//13,UEFA Champions League,last 16,2013-02-13,H,Real Madrid,Manchester United,1:01,LW,30,1:01,Header,Angel Di Maria,ronaldo,False,False,1,1,1,2013,2,13,Wednesday,February,middle,first half
12//13,Copa del Rey,semi-finals,2013-02-26,A,Real Madrid,FC Barcelona,1:03,LW,12,0:01,Penalty,no assist,ronaldo,False,False,1,1,3,2013,2,26,Tuesday,February,middle,first half
12//13,Copa del Rey,semi-finals,2013-02-26,A,Real Madrid,FC Barcelona,1:03,LW,57,0:02,Left-footed shot,Mesut Ozil,ronaldo,False,False,2,1,3,2013,2,26,Tuesday,February,middle,second time
12//13,UEFA Champions League,last 16,2013-03-05,A,Real Madrid,Manchester United,1:02,LW,69,1:02,Right-footed shot,Gonzalo Higuain,ronaldo,False,False,2,1,2,2013,3,5,Tuesday,March,end,second time
12//13,LaLiga,27,2013-03-10,A,Real Madrid,Celta de Vigo,1:02,LW,61,0:01,Left-footed shot,Jose CallejÃ³n,ronaldo,False,False,1,1,2,2013,3,10,Sunday,March,end,second time
12//13,LaLiga,27,2013-03-10,A,Real Madrid,Celta de Vigo,1:02,LW,71,1:02,Penalty,no assist,ronaldo,False,False,2,1,2,2013,3,10,Sunday,March,end,second time
12//13,LaLiga,28,2013-03-16,H,Real Madrid,RCD Mallorca,5:02,LW,52,2:02,Header,Mesut Ozil,ronaldo,False,False,2,2,5,2013,3,16,Saturday,March,end,second time
12//13,LaLiga,29,2013-03-30,A,Real Madrid,Real Zaragoza,1:01,LW,38,1:01,Long distance kick,Gonzalo Higuain,ronaldo,False,False,1,1,1,2013,3,30,Saturday,March,end,first half
12//13,UEFA Champions League,quarter-finals,2013-04-03,H,Real Madrid,Galatasaray,3:00,LW,9,1:00,Left-footed shot,Mesut Ozil,ronaldo,False,False,1,0,3,2013,4,3,Wednesday,April,end,first half
12//13,LaLiga,30,2013-04-06,H,Real Madrid,Levante UD,5:01,CF,84,3:01,Right-footed shot,Gonzalo Higuain,ronaldo,False,False,3,1,5,2013,4,6,Saturday,April,end,second time
12//13,UEFA Champions League,quarter-finals,2013-04-09,A,Real Madrid,Galatasaray,3:02,LW,8,0:01,Right-footed shot,Sami Khedira,ronaldo,False,False,1,3,2,2013,4,9,Tuesday,April,end,first half
12//13,UEFA Champions League,quarter-finals,2013-04-09,A,Real Madrid,Galatasaray,3:02,LW,90+2,3:02,Right-footed shot,Karim Benzema,ronaldo,False,False,2,3,2,2013,4,9,Tuesday,April,end,plus 90
12//13,LaLiga,31,2013-04-14,A,Real Madrid,Athletic Bilbao,0:03,LW,2,0:01,Direct free kick,no assist,ronaldo,False,False,1,0,3,2013,4,14,Sunday,April,end,first half
12//13,LaLiga,31,2013-04-14,A,Real Madrid,Athletic Bilbao,0:03,LW,68,0:02,Header,Xabi Alonso,ronaldo,False,False,2,0,3,2013,4,14,Sunday,April,end,second time
12//13,UEFA Champions League,semi-finals,2013-04-24,A,Real Madrid,Borussia Dortmund,4:01,LW,43,1:01,Right-footed shot,Gonzalo Higuain,ronaldo,False,False,1,4,1,2013,4,24,Wednesday,April,end,first half
12//13,LaLiga,34,2013-05-04,H,Real Madrid,Real Valladolid CF,4:03,LW,32,2:01,Header,Angel Di Maria,ronaldo,False,False,2,3,4,2013,5,4,Saturday,May,end,first half
12//13,LaLiga,34,2013-05-04,H,Real Madrid,Real Valladolid CF,4:03,LW,70,4:02,Header,Mesut Ozil,ronaldo,False,False,4,3,4,2013,5,4,Saturday,May,end,second time
12//13,LaLiga,36,2013-05-08,H,Real Madrid,Malaga CF,6:02,LW,26,2:01,Right-footed shot,Xabi Alonso,ronaldo,False,False,2,2,6,2013,5,8,Wednesday,May,end,first half
12//13,Copa del Rey,final,2013-05-17,A,Real Madrid,Atletico de Madrid,2:1 AET,LW,14,0:01,Header,Luka Modric,ronaldo,True,False,1,2,1,2013,5,17,Friday,May,end,first half
13//14,LaLiga,3,2013-09-01,H,Real Madrid,Athletic Bilbao,3:01,LW,45,2:00,Header,Angel Di Maria,ronaldo,False,False,2,1,3,2013,9,1,Sunday,September,start,first half
13//14,LaLiga,4,2013-09-14,A,Real Madrid,Villarreal CF,2:02,LW,64,1:02,Right-footed shot,Karim Benzema,ronaldo,False,False,2,2,2,2013,9,14,Saturday,September,start,second time
13//14,UEFA Champions League,group stage,2013-09-17,A,Real Madrid,Galatasaray,1:06,LW,63,0:03,Left-footed shot,Isco,ronaldo,False,False,3,1,6,2013,9,17,Tuesday,September,start,second time
13//14,UEFA Champions League,group stage,2013-09-17,A,Real Madrid,Galatasaray,1:06,LW,66,0:04,Tap-in,Sergio Ramos,ronaldo,False,False,4,1,6,2013,9,17,Tuesday,September,start,second time
13//14,UEFA Champions League,group stage,2013-09-17,A,Real Madrid,Galatasaray,1:06,LW,90,1:06,Left-footed shot,Karim Benzema,ronaldo,False,False,6,1,6,2013,9,17,Tuesday,September,start,second time
13//14,LaLiga,5,2013-09-22,H,Real Madrid,Getafe CF,4:01,LW,34,2:01,Penalty,no assist,ronaldo,False,False,2,1,4,2013,9,22,Sunday,September,start,first half
13//14,LaLiga,5,2013-09-22,H,Real Madrid,Getafe CF,4:01,LW,90,4:01,Right-footed shot,Sami Khedira,ronaldo,False,False,4,1,4,2013,9,22,Sunday,September,start,second time
13//14,LaLiga,6,2013-09-25,A,Real Madrid,Elche CF,1:02,LW,51,0:01,Direct free kick,no assist,ronaldo,False,False,1,1,2,2013,9,25,Wednesday,September,start,second time
13//14,LaLiga,6,2013-09-25,A,Real Madrid,Elche CF,1:02,LW,90+6,1:02,Penalty,no assist,ronaldo,False,False,2,1,2,2013,9,25,Wednesday,September,start,plus 90
13//14,UEFA Champions League,group stage,2013-10-02,H,Real Madrid,FC Copenhagen,4:00,LW,21,1:00,Header,Marcelo,ronaldo,False,False,1,0,4,2013,10,2,Wednesday,October,start,first half
13//14,UEFA Champions League,group stage,2013-10-02,H,Real Madrid,FC Copenhagen,4:00,LW,65,2:00,Header,Angel Di Maria,ronaldo,False,False,2,0,4,2013,10,2,Wednesday,October,start,second time
13//14,LaLiga,8,2013-10-05,A,Real Madrid,Levante UD,2:03,LW,90+4,2:03,Right-footed shot,Luka Modric,ronaldo,False,False,3,2,3,2013,10,5,Saturday,October,start,plus 90
13//14,LaLiga,9,2013-10-19,H,Real Madrid,Malaga CF,2:00,LW,90+1,2:00,Penalty,no assist,ronaldo,False,False,2,0,2,2013,10,19,Saturday,October,start,plus 90
13//14,UEFA Champions League,group stage,2013-10-23,H,Real Madrid,Juventus FC,2:01,LW,4,1:00,Right-footed shot,Angel Di Maria,ronaldo,False,False,1,1,2,2013,10,23,Wednesday,October,start,first half
13//14,UEFA Champions League,group stage,2013-10-23,H,Real Madrid,Juventus FC,2:01,LW,29,2:01,Penalty,no assist,ronaldo,False,False,2,1,2,2013,10,23,Wednesday,October,start,first half
13//14,LaLiga,11,2013-10-30,H,Real Madrid,Sevilla FC,7:03,LW,31,3:00,Penalty,no assist,ronaldo,False,False,3,3,7,2013,10,30,Wednesday,October,start,first half
13//14,LaLiga,11,2013-10-30,H,Real Madrid,Sevilla FC,7:03,LW,60,5:02,Right-footed shot,Gareth Bale,ronaldo,False,False,5,3,7,2013,10,30,Wednesday,October,start,second time
13//14,LaLiga,11,2013-10-30,H,Real Madrid,Sevilla FC,7:03,LW,71,6:03,Right-footed shot,Karim Benzema,ronaldo,False,False,6,3,7,2013,10,30,Wednesday,October,start,second time
13//14,LaLiga,12,2013-11-02,A,Real Madrid,Rayo Vallecano,2:03,LW,3,0:01,Right-footed shot,Luka Modric,ronaldo,False,False,1,2,3,2013,11,2,Saturday,November,middle,first half
13//14,LaLiga,12,2013-11-02,A,Real Madrid,Rayo Vallecano,2:03,LW,48,0:03,Right-footed shot,Gareth Bale,ronaldo,False,False,3,2,3,2013,11,2,Saturday,November,middle,second time
13//14,UEFA Champions League,group stage,2013-11-05,A,Real Madrid,Juventus FC,2:02,LW,52,1:01,Right-footed shot,Karim Benzema,ronaldo,False,False,1,2,2,2013,11,5,Tuesday,November,middle,second time
13//14,LaLiga,13,2013-11-09,H,Real Madrid,Real Sociedad,5:01,LW,12,1:00,Right-footed shot,Karim Benzema,ronaldo,False,False,1,1,5,2013,11,9,Saturday,November,middle,first half
13//14,LaLiga,13,2013-11-09,H,Real Madrid,Real Sociedad,5:01,LW,27,3:00,Penalty,no assist,ronaldo,False,False,3,1,5,2013,11,9,Saturday,November,middle,first half
13//14,LaLiga,13,2013-11-09,H,Real Madrid,Real Sociedad,5:01,LW,76,5:01,Direct free kick,no assist,ronaldo,False,False,5,1,5,2013,11,9,Saturday,November,middle,second time
13//14,LaLiga,14,2013-11-23,A,Real Madrid,UD Almeria,0:05,LW,3,0:01,Left-footed shot,Isco,ronaldo,False,False,1,0,5,2013,11,23,Saturday,November,middle,first half
13//14,UEFA Champions League,group stage,2013-12-10,A,Real Madrid,FC Copenhagen,0:02,LW,48,0:02,Right-footed shot,Pepe,ronaldo,False,False,2,0,2,2013,12,10,Tuesday,December,middle,second time
13//14,LaLiga,17,2013-12-22,A,Real Madrid,Valencia CF,2:03,LW,40,1:02,Header,Angel Di Maria,ronaldo,False,False,2,2,3,2013,12,22,Sunday,December,middle,first half
13//14,LaLiga,18,2014-01-06,H,Real Madrid,Celta de Vigo,3:00,LW,82,2:00,Right-footed shot,Daniel Carvajal,ronaldo,False,False,2,0,3,2014,1,6,Monday,January,middle,second time
13//14,LaLiga,18,2014-01-06,H,Real Madrid,Celta de Vigo,3:00,LW,90,3:00,Right-footed shot,Gareth Bale,ronaldo,False,False,3,0,3,2014,1,6,Monday,January,middle,second time
13//14,Copa del Rey,last 16,2014-01-15,A,Real Madrid,CA Osasuna,0:02,LW,22,0:01,Direct free kick,no assist,ronaldo,False,False,1,0,2,2014,1,15,Wednesday,January,middle,first half
13//14,LaLiga,20,2014-01-18,A,Real Madrid,Real Betis Balompie,0:05,LW,10,0:01,Right-footed shot,Angel Di Maria,ronaldo,False,False,1,0,5,2014,1,18,Saturday,January,middle,first half
13//14,LaLiga,21,2014-01-25,H,Real Madrid,Granada CF,2:00,LW,57,1:00,Right-footed shot,Luka Modric,ronaldo,False,False,1,0,2,2014,1,25,Saturday,January,middle,second time
13//14,Copa del Rey,semi-finals,2014-02-11,A,Real Madrid,Atletico de Madrid,0:02,LW,6,0:01,Penalty,no assist,ronaldo,False,False,1,0,2,2014,2,11,Tuesday,February,middle,first half
13//14,Copa del Rey,semi-finals,2014-02-11,A,Real Madrid,Atletico de Madrid,0:02,LW,15,0:02,Penalty,no assist,ronaldo,False,False,2,0,2,2014,2,11,Tuesday,February,middle,first half
13//14,UEFA Champions League,last 16,2014-02-26,A,Real Madrid,FC Schalke 04,1:06,LW,52,0:03,Left-footed shot,Gareth Bale,ronaldo,False,False,3,1,6,2014,2,26,Wednesday,February,middle,second time
13//14,UEFA Champions League,last 16,2014-02-26,A,Real Madrid,FC Schalke 04,1:06,LW,89,0:06,Right-footed shot,Karim Benzema,ronaldo,False,False,6,1,6,2014,2,26,Wednesday,February,middle,second time
13//14,LaLiga,26,2014-03-02,A,Real Madrid,Atletico de Madrid,2:02,LW,82,2:02,Right-footed shot,Gareth Bale,ronaldo,False,False,2,2,2,2014,3,2,Sunday,March,end,second time
13//14,LaLiga,27,2014-03-09,H,Real Madrid,Levante UD,3:00,LW,11,1:00,Header,Angel Di Maria,ronaldo,False,False,1,0,3,2014,3,9,Sunday,March,end,first half
13//14,LaLiga,28,2014-03-15,A,Real Madrid,Malaga CF,0:01,LW,23,0:01,Right-footed shot,Gareth Bale,ronaldo,False,False,1,0,1,2014,3,15,Saturday,March,end,first half
13//14,UEFA Champions League,last 16,2014-03-18,H,Real Madrid,FC Schalke 04,3:01,LW,22,1:00,Right-footed shot,Gareth Bale,ronaldo,False,False,1,1,3,2014,3,18,Tuesday,March,end,first half
13//14,UEFA Champions League,last 16,2014-03-18,H,Real Madrid,FC Schalke 04,3:01,LW,74,2:01,Right-footed shot,Gareth Bale,ronaldo,False,False,2,1,3,2014,3,18,Tuesday,March,end,second time
13//14,LaLiga,29,2014-03-23,H,Real Madrid,FC Barcelona,3:04,LW,55,3:02,Penalty,no assist,ronaldo,False,False,3,4,3,2014,3,23,Sunday,March,end,second time
13//14,LaLiga,30,2014-03-26,A,Real Madrid,Sevilla FC,2:01,LW,14,0:01,Direct free kick,no assist,ronaldo,False,False,1,2,1,2014,3,26,Wednesday,March,end,first half
13//14,LaLiga,31,2014-03-29,H,Real Madrid,Rayo Vallecano,5:00,LW,15,1:00,Right-footed shot,Gareth Bale,ronaldo,False,False,1,0,5,2014,3,29,Saturday,March,end,first half
13//14,UEFA Champions League,quarter-finals,2014-04-02,H,Real Madrid,Borussia Dortmund,3:00,LW,57,3:00,Left-footed shot,Luka Modric,ronaldo,False,False,3,0,3,2014,4,2,Wednesday,April,end,second time
13//14,LaLiga,35,2014-04-26,H,Real Madrid,CA Osasuna,4:00,LW,6,1:00,Long distance kick,Angel Di Maria,ronaldo,False,False,1,0,4,2014,4,26,Saturday,April,end,first half
13//14,LaLiga,35,2014-04-26,H,Real Madrid,CA Osasuna,4:00,LW,52,2:00,Long distance kick,Isco,ronaldo,False,False,2,0,4,2014,4,26,Saturday,April,end,second time
13//14,UEFA Champions League,semi-finals,2014-04-29,A,Real Madrid,Bayern Munich,0:04,LW,34,0:03,Counter attack goal,Gareth Bale,ronaldo,False,False,3,0,4,2014,4,29,Tuesday,April,end,first half
13//14,UEFA Champions League,semi-finals,2014-04-29,A,Real Madrid,Bayern Munich,0:04,LW,90,0:04,Direct free kick,no assist,ronaldo,False,False,4,0,4,2014,4,29,Tuesday,April,end,second time
13//14,LaLiga,36,2014-05-04,H,Real Madrid,Valencia CF,2:02,LW,90,2:02,Right-footed shot,Angel Di Maria,ronaldo,False,False,2,2,2,2014,5,4,Sunday,May,end,second time
13//14,UEFA Champions League,final,2014-05-24,H,Real Madrid,Atletico de Madrid,4:1 AET,LW,120,4:01,Penalty,no assist,ronaldo,True,False,4,1,4,2014,5,24,Saturday,May,end,extra time
14//15,UEFA Super Cup,final,2014-08-12,H,Real Madrid,Sevilla FC,2:00,LW,30,1:00,Right-footed shot,Gareth Bale,ronaldo,False,False,1,0,2,2014,8,12,Tuesday,August,start,first half
14//15,UEFA Super Cup,final,2014-08-12,H,Real Madrid,Sevilla FC,2:00,LW,49,2:00,Left-footed shot,Karim Benzema,ronaldo,False,False,2,0,2,2014,8,12,Tuesday,August,start,second time
14//15,LaLiga,1,2014-08-25,H,Real Madrid,CÃ³rdoba CF,2:00,LW,90,2:00,Right-footed shot,Isco,ronaldo,False,False,2,0,2,2014,8,25,Monday,August,start,second time
14//15,LaLiga,3,2014-09-13,H,Real Madrid,Atletico de Madrid,1:02,LW,25,1:01,Penalty,no assist,ronaldo,False,False,1,2,1,2014,9,13,Saturday,September,start,first half
14//15,UEFA Champions League,group stage,2014-09-16,H,Real Madrid,FC Basel 1893,5:01,LW,31,3:00,Right-footed shot,Gareth Bale,ronaldo,False,False,3,1,5,2014,9,16,Tuesday,September,start,first half
14//15,LaLiga,4,2014-09-20,A,Real Madrid,Deportivo de La CoruÃ±a,2:08,RW,29,0:01,Header,alvaro Arbeloa,ronaldo,False,False,1,2,8,2014,9,20,Saturday,September,start,first half
14//15,LaLiga,4,2014-09-20,A,Real Madrid,Deportivo de La CoruÃ±a,2:08,RW,41,0:03,Left-footed shot,Karim Benzema,ronaldo,False,False,3,2,8,2014,9,20,Saturday,September,start,first half
14//15,LaLiga,4,2014-09-20,A,Real Madrid,Deportivo de La CoruÃ±a,2:08,RW,78,1:06,Left-footed shot,James Rodriguez,ronaldo,False,False,6,2,8,2014,9,20,Saturday,September,start,second time
14//15,LaLiga,5,2014-09-23,H,Real Madrid,Elche CF,5:01,CF,28,2:01,Penalty,no assist,ronaldo,False,False,2,1,5,2014,9,23,Tuesday,September,start,first half
14//15,LaLiga,5,2014-09-23,H,Real Madrid,Elche CF,5:01,CF,32,3:01,Header,Marcelo,ronaldo,False,False,3,1,5,2014,9,23,Tuesday,September,start,first half
14//15,LaLiga,5,2014-09-23,H,Real Madrid,Elche CF,5:01,CF,80,4:01,Penalty,no assist,ronaldo,False,False,4,1,5,2014,9,23,Tuesday,September,start,second time
14//15,LaLiga,5,2014-09-23,H,Real Madrid,Elche CF,5:01,CF,90,5:01,Right-footed shot,Gareth Bale,ronaldo,False,False,5,1,5,2014,9,23,Tuesday,September,start,second time
14//15,LaLiga,6,2014-09-27,A,Real Madrid,Villarreal CF,0:02,CF,40,0:02,Right-footed shot,Karim Benzema,ronaldo,False,False,2,0,2,2014,9,27,Saturday,September,start,first half
14//15,UEFA Champions League,group stage,2014-10-01,A,Real Madrid,Ludogorets Razgrad,1:02,CF,25,1:01,Penalty,no assist,ronaldo,False,False,1,1,2,2014,10,1,Wednesday,October,start,first half
14//15,LaLiga,7,2014-10-05,H,Real Madrid,Athletic Bilbao,5:00,LW,3,1:00,Header,Gareth Bale,ronaldo,False,False,1,0,5,2014,10,5,Sunday,October,start,first half
14//15,LaLiga,7,2014-10-05,H,Real Madrid,Athletic Bilbao,5:00,LW,55,3:00,Right-footed shot,Gareth Bale,ronaldo,False,False,3,0,5,2014,10,5,Sunday,October,start,second time
14//15,LaLiga,7,2014-10-05,H,Real Madrid,Athletic Bilbao,5:00,LW,89,5:00,Deflected shot on goal,Pepe,ronaldo,False,False,5,0,5,2014,10,5,Sunday,October,start,second time
14//15,LaLiga,8,2014-10-18,A,Real Madrid,Levante UD,0:05,CF,13,0:01,Penalty,no assist,ronaldo,False,False,1,0,5,2014,10,18,Saturday,October,start,first half
14//15,LaLiga,8,2014-10-18,A,Real Madrid,Levante UD,0:05,CF,61,0:03,Right-footed shot,Isco,ronaldo,False,False,3,0,5,2014,10,18,Saturday,October,start,second time
14//15,UEFA Champions League,group stage,2014-10-22,A,Real Madrid,Liverpool FC,0:03,CF,23,0:01,Right-footed shot,James Rodriguez,ronaldo,False,False,1,0,3,2014,10,22,Wednesday,October,start,first half
14//15,LaLiga,9,2014-10-25,H,Real Madrid,FC Barcelona,3:01,CF,35,1:01,Penalty,no assist,ronaldo,False,False,1,1,3,2014,10,25,Saturday,October,start,first half
14//15,LaLiga,10,2014-11-01,A,Real Madrid,Granada CF,0:04,CF,2,0:01,Right-footed shot,Karim Benzema,ronaldo,False,False,1,0,4,2014,11,1,Saturday,November,middle,first half
14//15,LaLiga,11,2014-11-08,H,Real Madrid,Rayo Vallecano,5:01,CF,83,5:01,Right-footed shot,Isco,ronaldo,False,False,5,1,5,2014,11,8,Saturday,November,middle,second time
14//15,LaLiga,12,2014-11-22,A,Real Madrid,SD Eibar,0:04,CF,43,0:02,Right-footed shot,Daniel Carvajal,ronaldo,False,False,2,0,4,2014,11,22,Saturday,November,middle,first half
14//15,LaLiga,12,2014-11-22,A,Real Madrid,SD Eibar,0:04,CF,83,0:04,Penalty,no assist,ronaldo,False,False,4,0,4,2014,11,22,Saturday,November,middle,second time
14//15,UEFA Champions League,group stage,2014-11-26,A,Real Madrid,FC Basel 1893,0:01,LW,35,0:01,Left-footed shot,Karim Benzema,ronaldo,False,False,1,0,1,2014,11,26,Wednesday,November,middle,first half
14//15,LaLiga,14,2014-12-06,H,Real Madrid,Celta de Vigo,3:00,CF,36,1:00,Penalty,no assist,ronaldo,False,False,1,0,3,2014,12,6,Saturday,December,middle,first half
14//15,LaLiga,14,2014-12-06,H,Real Madrid,Celta de Vigo,3:00,CF,65,2:00,Right-footed shot,Karim Benzema,ronaldo,False,False,2,0,3,2014,12,6,Saturday,December,middle,second time
14//15,LaLiga,14,2014-12-06,H,Real Madrid,Celta de Vigo,3:00,CF,81,3:00,Left-footed shot,Marcelo,ronaldo,False,False,3,0,3,2014,12,6,Saturday,December,middle,second time
14//15,UEFA Champions League,group stage,2014-12-09,H,Real Madrid,Ludogorets Razgrad,4:00,CF,20,1:00,Penalty,no assist,ronaldo,False,False,1,0,4,2014,12,9,Tuesday,December,middle,first half
14//15,LaLiga,15,2014-12-12,A,Real Madrid,UD Almeria,1:04,CF,81,1:03,Right-footed shot,Karim Benzema,ronaldo,False,False,3,1,4,2014,12,12,Friday,December,middle,second time
14//15,LaLiga,15,2014-12-12,A,Real Madrid,UD Almeria,1:04,CF,89,1:04,Right-footed shot,Daniel Carvajal,ronaldo,False,False,4,1,4,2014,12,12,Friday,December,middle,second time
14//15,LaLiga,17,2015-01-04,A,Real Madrid,Valencia CF,2:01,LW,14,0:01,Penalty,no assist,ronaldo,False,False,1,2,1,2015,1,4,Sunday,January,middle,first half
14//15,Copa del Rey,last 16,2015-01-15,H,Real Madrid,Atletico de Madrid,2:02,CF,54,2:02,Header,Gareth Bale,ronaldo,False,False,2,2,2,2015,1,15,Thursday,January,middle,second time
14//15,LaLiga,19,2015-01-18,A,Real Madrid,Getafe CF,0:03,LW,63,0:01,Left-footed shot,Karim Benzema,ronaldo,False,False,1,0,3,2015,1,18,Sunday,January,middle,second time
14//15,LaLiga,19,2015-01-18,A,Real Madrid,Getafe CF,0:03,LW,79,0:03,Header,James Rodriguez,ronaldo,False,False,3,0,3,2015,1,18,Sunday,January,middle,second time
14//15,UEFA Champions League,last 16,2015-02-18,A,Real Madrid,FC Schalke 04,0:02,LW,26,0:01,Header,Daniel Carvajal,ronaldo,False,False,1,0,2,2015,2,18,Wednesday,February,middle,first half
14//15,LaLiga,24,2015-02-22,A,Real Madrid,Elche CF,0:02,CF,69,0:02,Header,Isco,ronaldo,False,False,2,0,2,2015,2,22,Sunday,February,middle,second time
